

--------------------------------------------------------
Maximum iterations:		20
Starting 'C' Real:		-2.000000
Starting 'C' Imaginary:	-1.000000
Step size: 				0.004990
--------------------------------------------------------
de_data		de_addr	de_nbyte
01010101	00000	e
01010101	00000	d
01010101	00000	b
01010101	00000	7
01010101	00001	e
01010101	00001	d
01010101	00001	b
01010101	00001	7
01010101	00002	e
01010101	00002	d
01010101	00002	b
01010101	00002	7
01010101	00003	e
01010101	00003	d
01010101	00003	b
01010101	00003	7
01010101	00004	e
01010101	00004	d
01010101	00004	b
01010101	00004	7
01010101	00005	e
01010101	00005	d
01010101	00005	b
01010101	00005	7
01010101	00006	e
01010101	00006	d
01010101	00006	b
01010101	00006	7
01010101	00007	e
01010101	00007	d
01010101	00007	b
01010101	00007	7
01010101	00008	e
01010101	00008	d
01010101	00008	b
01010101	00008	7
01010101	00009	e
01010101	00009	d
01010101	00009	b
01010101	00009	7
01010101	0000a	e
01010101	0000a	d
01010101	0000a	b
01010101	0000a	7
01010101	0000b	e
01010101	0000b	d
01010101	0000b	b
01010101	0000b	7
01010101	0000c	e
01010101	0000c	d
01010101	0000c	b
01010101	0000c	7
01010101	0000d	e
01010101	0000d	d
02020202	0000d	b
02020202	0000d	7
02020202	0000e	e
02020202	0000e	d
02020202	0000e	b
02020202	0000e	7
02020202	0000f	e
02020202	0000f	d
02020202	0000f	b
02020202	0000f	7
02020202	00010	e
02020202	00010	d
02020202	00010	b
02020202	00010	7
02020202	00011	e
02020202	00011	d
02020202	00011	b
02020202	00011	7
02020202	00012	e
02020202	00012	d
02020202	00012	b
02020202	00012	7
02020202	00013	e
02020202	00013	d
02020202	00013	b
02020202	00013	7
02020202	00014	e
02020202	00014	d
02020202	00014	b
02020202	00014	7
02020202	00015	e
02020202	00015	d
02020202	00015	b
02020202	00015	7
02020202	00016	e
02020202	00016	d
02020202	00016	b
02020202	00016	7
02020202	00017	e
02020202	00017	d
02020202	00017	b
02020202	00017	7
02020202	00018	e
02020202	00018	d
02020202	00018	b
02020202	00018	7
02020202	00019	e
02020202	00019	d
02020202	00019	b
03030303	00019	7
03030303	0001a	e
03030303	0001a	d
03030303	0001a	b
03030303	0001a	7
03030303	0001b	e
03030303	0001b	d
03030303	0001b	b
03030303	0001b	7
03030303	0001c	e
03030303	0001c	d
03030303	0001c	b
03030303	0001c	7
03030303	0001d	e
03030303	0001d	d
03030303	0001d	b
03030303	0001d	7
03030303	0001e	e
03030303	0001e	d
03030303	0001e	b
03030303	0001e	7
03030303	0001f	e
03030303	0001f	d
03030303	0001f	b
03030303	0001f	7
03030303	00020	e
03030303	00020	d
03030303	00020	b
03030303	00020	7
03030303	00021	e
03030303	00021	d
03030303	00021	b
03030303	00021	7
03030303	00022	e
03030303	00022	d
03030303	00022	b
03030303	00022	7
03030303	00023	e
03030303	00023	d
03030303	00023	b
03030303	00023	7
03030303	00024	e
03030303	00024	d
03030303	00024	b
03030303	00024	7
03030303	00025	e
03030303	00025	d
03030303	00025	b
03030303	00025	7
03030303	00026	e
03030303	00026	d
03030303	00026	b
03030303	00026	7
03030303	00027	e
03030303	00027	d
03030303	00027	b
03030303	00027	7
03030303	00028	e
03030303	00028	d
03030303	00028	b
03030303	00028	7
03030303	00029	e
03030303	00029	d
03030303	00029	b
03030303	00029	7
03030303	0002a	e
03030303	0002a	d
03030303	0002a	b
03030303	0002a	7
03030303	0002b	e
03030303	0002b	d
03030303	0002b	b
03030303	0002b	7
03030303	0002c	e
03030303	0002c	d
03030303	0002c	b
03030303	0002c	7
03030303	0002d	e
03030303	0002d	d
03030303	0002d	b
03030303	0002d	7
03030303	0002e	e
03030303	0002e	d
03030303	0002e	b
03030303	0002e	7
03030303	0002f	e
03030303	0002f	d
03030303	0002f	b
03030303	0002f	7
03030303	00030	e
03030303	00030	d
03030303	00030	b
03030303	00030	7
03030303	00031	e
03030303	00031	d
03030303	00031	b
03030303	00031	7
03030303	00032	e
03030303	00032	d
03030303	00032	b
03030303	00032	7
03030303	00033	e
03030303	00033	d
03030303	00033	b
03030303	00033	7
03030303	00034	e
03030303	00034	d
03030303	00034	b
03030303	00034	7
03030303	00035	e
03030303	00035	d
03030303	00035	b
03030303	00035	7
03030303	00036	e
03030303	00036	d
03030303	00036	b
03030303	00036	7
03030303	00037	e
03030303	00037	d
03030303	00037	b
03030303	00037	7
03030303	00038	e
03030303	00038	d
03030303	00038	b
03030303	00038	7
03030303	00039	e
03030303	00039	d
03030303	00039	b
03030303	00039	7
03030303	0003a	e
03030303	0003a	d
03030303	0003a	b
03030303	0003a	7
03030303	0003b	e
03030303	0003b	d
03030303	0003b	b
03030303	0003b	7
03030303	0003c	e
03030303	0003c	d
03030303	0003c	b
03030303	0003c	7
03030303	0003d	e
03030303	0003d	d
03030303	0003d	b
03030303	0003d	7
03030303	0003e	e
03030303	0003e	d
03030303	0003e	b
03030303	0003e	7
03030303	0003f	e
03030303	0003f	d
03030303	0003f	b
03030303	0003f	7
03030303	00040	e
03030303	00040	d
03030303	00040	b
03030303	00040	7
03030303	00041	e
03030303	00041	d
03030303	00041	b
03030303	00041	7
03030303	00042	e
04040404	00042	d
04040404	00042	b
04040404	00042	7
04040404	00043	e
04040404	00043	d
04040404	00043	b
04040404	00043	7
04040404	00044	e
04040404	00044	d
04040404	00044	b
04040404	00044	7
04040404	00045	e
04040404	00045	d
04040404	00045	b
04040404	00045	7
04040404	00046	e
04040404	00046	d
04040404	00046	b
04040404	00046	7
04040404	00047	e
04040404	00047	d
04040404	00047	b
04040404	00047	7
04040404	00048	e
04040404	00048	d
04040404	00048	b
04040404	00048	7
04040404	00049	e
04040404	00049	d
04040404	00049	b
04040404	00049	7
04040404	0004a	e
04040404	0004a	d
04040404	0004a	b
04040404	0004a	7
04040404	0004b	e
04040404	0004b	d
04040404	0004b	b
04040404	0004b	7
04040404	0004c	e
04040404	0004c	d
04040404	0004c	b
04040404	0004c	7
04040404	0004d	e
04040404	0004d	d
04040404	0004d	b
04040404	0004d	7
04040404	0004e	e
04040404	0004e	d
04040404	0004e	b
04040404	0004e	7
04040404	0004f	e
04040404	0004f	d
04040404	0004f	b
04040404	0004f	7
04040404	00050	e
04040404	00050	d
04040404	00050	b
04040404	00050	7
04040404	00051	e
05050505	00051	d
05050505	00051	b
05050505	00051	7
05050505	00052	e
05050505	00052	d
05050505	00052	b
05050505	00052	7
05050505	00053	e
05050505	00053	d
05050505	00053	b
05050505	00053	7
05050505	00054	e
05050505	00054	d
05050505	00054	b
05050505	00054	7
05050505	00055	e
05050505	00055	d
05050505	00055	b
05050505	00055	7
05050505	00056	e
05050505	00056	d
05050505	00056	b
05050505	00056	7
06060606	00057	e
06060606	00057	d
06060606	00057	b
06060606	00057	7
06060606	00058	e
06060606	00058	d
06060606	00058	b
06060606	00058	7
06060606	00059	e
07070707	00059	d
07070707	00059	b
07070707	00059	7
07070707	0005a	e
07070707	0005a	d
08080808	0005a	b
08080808	0005a	7
09090909	0005b	e
09090909	0005b	d
09090909	0005b	b
09090909	0005b	7
0a0a0a0a	0005c	e
0a0a0a0a	0005c	d
0b0b0b0b	0005c	b
0b0b0b0b	0005c	7
0d0d0d0d	0005d	e
0f0f0f0f	0005d	d
13131313	0005d	b
0e0e0e0e	0005d	7
0d0d0d0d	0005e	e
10101010	0005e	d
0a0a0a0a	0005e	b
09090909	0005e	7
09090909	0005f	e
09090909	0005f	d
09090909	0005f	b
09090909	0005f	7
09090909	00060	e
09090909	00060	d
0a0a0a0a	00060	b
0b0b0b0b	00060	7
0f0f0f0f	00061	e
0b0b0b0b	00061	d
0a0a0a0a	00061	b
0b0b0b0b	00061	7
0b0b0b0b	00062	e
0b0b0b0b	00062	d
0b0b0b0b	00062	b
10101010	00062	7
14141414	00063	e
14141414	00063	d
0c0c0c0c	00063	b
0b0b0b0b	00063	7
0b0b0b0b	00064	e
0b0b0b0b	00064	d
07070707	00064	b
06060606	00064	7
06060606	00065	e
06060606	00065	d
06060606	00065	b
06060606	00065	7
05050505	00066	e
05050505	00066	d
05050505	00066	b
05050505	00066	7
05050505	00067	e
05050505	00067	d
04040404	00067	b
04040404	00067	7
04040404	00068	e
04040404	00068	d
04040404	00068	b
04040404	00068	7
04040404	00069	e
04040404	00069	d
04040404	00069	b
04040404	00069	7
04040404	0006a	e
04040404	0006a	d
04040404	0006a	b
04040404	0006a	7
04040404	0006b	e
04040404	0006b	d
04040404	0006b	b
04040404	0006b	7
04040404	0006c	e
04040404	0006c	d
04040404	0006c	b
04040404	0006c	7
04040404	0006d	e
04040404	0006d	d
04040404	0006d	b
04040404	0006d	7
04040404	0006e	e
04040404	0006e	d
04040404	0006e	b
04040404	0006e	7
04040404	0006f	e
04040404	0006f	d
04040404	0006f	b
04040404	0006f	7
04040404	00070	e
04040404	00070	d
04040404	00070	b
04040404	00070	7
04040404	00071	e
04040404	00071	d
04040404	00071	b
04040404	00071	7
04040404	00072	e
03030303	00072	d
03030303	00072	b
03030303	00072	7
03030303	00073	e
03030303	00073	d
03030303	00073	b
03030303	00073	7
03030303	00074	e
03030303	00074	d
03030303	00074	b
03030303	00074	7
03030303	00075	e
03030303	00075	d
03030303	00075	b
03030303	00075	7
03030303	00076	e
03030303	00076	d
03030303	00076	b
03030303	00076	7
03030303	00077	e
03030303	00077	d
03030303	00077	b
03030303	00077	7
